fragment_smiles,occurences,example_ligands
CC1CC(F)(F)CN1,1424,20:02000:0:Z3642643966;20:02000:0:Z4869950595;20:02000:2:Z3434069920;
Cn1ccc(N)n1,940,20:02000:0:Z2922322464;20:02000:0:Z3952623457;20:02000:0:Z4284882739;
C1CCC2(CC1)CCCO2,977,20:02000:0:Z2922322464;20:02000:2:Z4004568339;20:02000:3:Z3715464683;
C1CCOCC1,113863,20:02000:0:Z2923339633;20:02000:0:Z1888447608;20:02000:0:Z4049416909;
CC1CCc2ccccc21,1133,20:02000:0:Z3917380750;20:02000:0:Z4148030463;20:02000:0:Z4406556884;
C1CC2CCC2N1,2672,20:02000:0:Z3917380750;20:02000:0:Z3496151854;20:02000:0:Z3018955761;
C1CCC2(CC1)CCNC2,1047,20:02000:0:Z4575117637;20:02000:0:Z1916257093;20:02000:1:Z4101419552;
Fc1cccc2c1CCC2,1070,20:02000:0:Z4574353199;20:02000:0:Z2863562116;20:02000:0:Z2863566198;
O=c1cc[nH]c(=O)[nH]1,1635,20:02000:0:Z2850328462;20:02000:1:Z4275208378;20:02000:1:Z4991646038;
Clc1ccsc1,6747,20:02000:0:Z2850328462;20:02000:0:Z3517479036;20:02000:0:Z3137930364;
Cc1ccccc1,95606,20:02000:0:Z3057232958;20:02000:0:Z3797232737;20:02000:0:Z368210530;
Clc1cccc2c1CCNC2,300,20:02000:0:Z4288872990;20:02001:1:Z1247566309;20:02001:8:Z3513103680;
Cc1cccnc1,23405,20:02000:0:Z4341917124;20:02000:0:Z4168728096;20:02000:0:Z4634496856;
NC1CC2(CC2)C1,760,20:02000:0:Z4001955552;20:02000:0:Z3511278659;20:02000:2:Z3516564310;
CC1CCCCN1C,2026,20:02000:0:Z1262018742;20:02000:0:Z2850462200;20:02000:0:Z1651321011;
C1CC2CCC1C2,13253,20:02000:0:Z4021301807;20:02000:0:Z1337337834;20:02000:0:Z3574778988;
C1CCCCCC1,690,20:02000:0:Z2862792491;20:02000:0:Z3363058337;20:02000:1:Z3695343213;
Cn1cnc2c(F)cccc21,176,20:02000:0:Z3549959603;20:02000:3:Z3342426135;20:02000:8:Z2273494441;
