fragment_smiles,occurences,example_ligands
Nc1ncnc2[nH]ncc12,82,84:08400:0:PV-006011837385;84:08401:2:PV-006012962785;84:08402:2:PV-003672606929;
Fc1ccc2c(c1)OCCCC2,30,84:08400:0:PV-006011839304;84:08400:6:PV-002952219513;84:08403:7:PV-002952635668;
c1ccc2c(c1)C1CCC2O1,124,84:08400:0:PV-006011839364;84:08400:2:PV-002952170862;84:08401:5:PV-006013407672;
CC1CC2(C1)CC(F)(F)C2,384,84:08400:0:PV-006011839831;84:08400:0:PV-006011848122;84:08400:0:PV-006011848123;
c1nncs1,5342,84:08400:0:PV-006011839831;84:08400:0:PV-006011844799;84:08400:0:PV-006011848896;
O=S1(=O)CCC1,13086,84:08400:0:PV-006011840305;84:08400:0:PV-003671846213;84:08400:0:PV-003671846214;
CC12CC(CO1)C2,388,84:08400:0:PV-006011840481;84:08400:0:PV-006011840482;84:08400:4:PV-006012316378;
CC1CC1C,22487,84:08400:0:PV-006011841095;84:08400:0:PV-006011841096;84:08400:0:PV-006011841097;
Cc1csc(C)c1,4223,84:08400:0:PV-006011841695;84:08400:0:PV-006011841696;84:08400:0:PV-006011841697;
O=C1CCCN1,52411,84:08400:0:PV-006011841695;84:08400:0:PV-006011841696;84:08400:0:PV-006011841697;
c1cnsn1,10598,84:08400:0:PV-006011841729;84:08400:0:PV-000417036710;84:08400:0:PV-002952136028;
Cc1nn(C)c2ncccc12,367,84:08400:0:PV-006011841762;84:08400:0:PV-003671843616;84:08400:3:PV-002952181189;
C1CNC2(CC2)CN1,24,84:08400:0:PV-006011841762;84:08402:7:PV-003672771930;84:08403:0:PV-003672899180;
c1cn2c(n1)COCC2,1318,84:08400:0:PV-006011841868;84:08400:0:PV-003671846175;84:08400:0:PV-003671846176;
c1cnc2ccnn2c1,3976,84:08400:0:PV-006011842313;84:08400:0:PV-002952135817;84:08400:0:PV-003671854837;
