fragment_smiles,occurences,example_ligands
O=c1cccc[nH]1,31827,197:19700:0:Z1907009770;197:19700:0:Z4239619182;197:19700:0:Z1985640052;
Cn1cc2c(n1)CCCC2,3128,197:19700:0:Z5007924262;197:19700:0:Z4170000959;197:19700:0:Z4126233817;
C1CNCCOC1,12148,197:19700:0:Z4772406724;197:19700:0:Z4629163787;197:19700:0:Z3626660664;
c1ncc2nc[nH]c2n1,22449,197:19700:0:Z4772406724;197:19700:0:Z4768843091;197:19700:0:Z4769930660;
O=S1(=O)CCC2(CC1)CNC2,550,197:19700:0:Z3440777329;197:19701:1:Z3057294174;197:19701:2:Z3187332988;
c1cc2n(n1)CCCC2,6262,197:19700:0:Z4124188955;197:19700:0:Z2480341090;197:19700:0:Z3575077856;
Fc1c(Cl)ccc2c1CNCC2,71,197:19700:0:Z3098796239;197:19703:4:Z3098261186;197:19703:9:Z3189823168;
CC1CNCCS1=O,463,197:19700:0:Z2703928176;197:19700:3:Z1249017353;197:19701:5:Z2090838409;
CC1CCCO1,5438,197:19700:0:Z2703928176;197:19700:0:Z2785134486;197:19700:0:Z3638391446;
c1cn2c(n1)SCC2,799,197:19700:0:Z2957780457;197:19700:4:Z3415788465;197:19700:5:Z3606127908;
CC1CC(O)C(=O)N1C,153,197:19700:0:Z4093762988;197:19700:0:Z4088494071;197:19700:3:Z4156905014;
C1CCC2CNCC2C1,3353,197:19700:0:Z3438855175;197:19700:0:Z2144153499;197:19700:0:Z2149933185;
O=S1(=O)CC2CNCC(C2)C1,272,197:19700:0:Z4030052483;197:19701:0:Z4051839645;197:19701:3:Z4051831807;
CC1CCNCCS1(=O)=O,304,197:19700:0:Z3843373041;197:19700:6:Z1867237380;197:19700:6:Z1951566661;
Cc1ccc2c(c1)CCCO2,634,197:19700:0:Z1952204295;197:19700:0:Z1952498127;197:19700:1:Z4170142729;
Fc1ccc2[nH]ccc2c1,1671,197:19700:0:Z1952204295;197:19700:0:Z1220450462;197:19700:0:Z4061715686;
C1COC2(C1)CCNCC2,2509,197:19700:0:Z3655011789;197:19700:0:Z3773890344;197:19700:0:Z3706777346;
O=c1[nH]nnc2ccccc12,765,197:19700:0:Z2457865104;197:19700:3:Z1683588661;197:19700:3:Z1144365991;
C1=CCNCC1,9119,197:19700:0:Z1904878865;197:19700:0:Z4278903267;197:19700:0:Z4092899327;
C1CCCOCC1,910,197:19700:0:Z1904878865;197:19700:0:Z1899330319;197:19700:3:Z3808861878;
CC1CNCC1C,1487,197:19700:0:Z3186890411;197:19700:0:Z2812194307;197:19700:1:Z3628935010;
C1CC2(CC2)CO1,1184,197:19700:0:Z3840686467;197:19700:0:Z4010625314;197:19700:3:Z3844863789;
Clc1ccncc1,1606,197:19700:0:Z4614812206;197:19700:0:Z1246210540;197:19700:0:Z4170229739;
c1ccc2c(c1)CCNC2,34717,197:19700:0:Z2899126233;197:19700:0:Z109585238;197:19700:0:Z4050693073;
O=C1CCCCC1,2940,197:19700:0:Z3008232808;197:19700:0:Z2598624951;197:19700:0:Z4710859085;
c1cc2occc2cn1,931,197:19700:0:Z3723934599;197:19700:1:Z3653104022;197:19700:2:Z2822248924;
CC1Cc2ccccc2N1,2599,197:19700:0:Z1666282009;197:19700:0:Z4462062878;197:19700:0:Z2581368350;
Cn1nnc2ccccc21,2492,197:19700:0:Z1666282009;197:19700:0:Z1174743317;197:19700:0:Z4087238244;
Clc1cn[nH]c1,5750,197:19700:0:Z3868577706;197:19700:1:Z4462742527;197:19700:1:Z1676823135;
FC1CNCC12COC2,724,197:19700:0:Z3868577706;197:19700:3:Z3187546850;197:19700:6:Z2227866836;
CC1CCc2ccccc2C1,704,197:19700:0:Z1273555949;197:19700:0:Z1369610837;197:19700:1:Z1677774063;
C1CCC2(CCNC2)OC1,220,197:19700:0:Z3695365746;197:19700:3:Z3693938364;197:19700:3:Z3643468168;
O=c1[nH]ccc2c1CNCC2,265,197:19700:0:Z3103847003;197:19700:3:Z3317170681;197:19701:9:Z3176230091;
Fc1cc(Cl)cc2ccoc12,47,197:19700:0:Z3741218938;197:19708:4:Z3667720549;197:19710:1:Z3671240325;
Cc1ncc[nH]1,10266,197:19700:0:Z4309783003;197:19700:0:Z1979123820;197:19700:0:Z4352165197;
Clc1cccc2c1OCCO2,2130,197:19700:0:Z4239619182;197:19700:0:Z211940908;197:19700:1:Z1892449606;
