fragment_smiles,occurences,example_ligands
Cc1ccoc1,10207,28:02800:0:Z3144613477;28:02800:0:Z3384875254;28:02800:0:Z2640277008;
C1CCCNCC1,20271,28:02800:0:Z2733004621;28:02800:0:Z3024327600;28:02800:0:Z2996461828;
Fc1cc2nc[nH]c2cc1F,211,28:02800:0:Z4206006628;28:02800:4:Z4343677686;28:02800:5:Z3517140523;
CC1(C)CCC1,13100,28:02800:0:Z4079622834;28:02800:0:Z4208903208;28:02800:0:Z3024327600;
NC1CC2CCC1O2,266,28:02800:0:Z4079622834;28:02800:1:Z4078976249;28:02800:2:Z4079282418;
C1CSCS1,3182,28:02800:0:Z2624171225;28:02800:0:Z2914859762;28:02800:0:Z2852790048;
CC1(C)CCNCCO1,512,28:02800:0:Z3619319140;28:02800:4:Z3317122835;28:02800:5:Z3091584067;
Cn1ncnc1N,95,28:02800:0:Z3621445791;28:02803:4:Z3599510093;28:02804:9:Z4350764646;
FC1(F)CCNC1,4737,28:02800:0:Z3621445791;28:02800:0:Z4313737764;28:02800:0:Z3616939456;
O=S1(=O)CCC2CNCC21,746,28:02800:0:Z3078014172;28:02800:0:Z2956882028;28:02800:0:Z2977148162;
FC1CCNC1,15512,28:02800:0:Z3651662057;28:02800:0:Z3356234945;28:02800:0:Z3356077840;
Fc1cccc(Cl)c1,13267,28:02800:0:Z4629724102;28:02800:0:Z2773237896;28:02800:0:Z3498701653;
OC1CCNCC1O,1306,28:02800:0:Z4629724102;28:02800:0:Z3203963096;28:02800:1:Z3383448652;
Oc1ccccc1,25578,28:02800:0:Z3775760722;28:02800:0:Z3816585013;28:02800:0:Z4579868603;
c1cc2occc2[nH]1,368,28:02800:0:Z1545369200;28:02800:6:Z2970805529;28:02800:6:Z1678462805;
Cc1ccc(F)cc1,5589,28:02800:0:Z4276408257;28:02800:0:Z2255431041;28:02800:0:Z1883803603;
O=c1cccc[nH]1,13818,28:02800:0:Z3368623154;28:02800:0:Z2637860325;28:02800:0:Z4387679614;
C1CC2CCCC(C1)N2,179,28:02800:0:Z3654201256;28:02800:4:Z4454617874;28:02800:5:Z4448533433;
Cc1cnc(C)s1,2950,28:02800:0:Z3654201256;28:02800:1:Z2376880407;28:02800:1:Z3631301520;
C1NC2CC1C2,9391,28:02800:0:Z4930783983;28:02800:0:Z4498624982;28:02800:0:Z4522723810;
CC1(C)CCNC1,8965,28:02800:0:Z3346594617;28:02800:0:Z3046555246;28:02800:0:Z3346200534;
c1c[nH]cn1,68895,28:02800:0:Z3346594617;28:02800:0:Z2335582532;28:02800:0:Z4473646798;
Cc1ccco1,21522,28:02800:0:Z4130524932;28:02800:0:Z5063825378;28:02800:0:Z3367691126;
O=C1CC2CNC(C1)C2,238,28:02800:0:Z4130524932;28:02800:5:Z4137519774;28:02800:8:Z4181015946;
CN1CCNCC1=O,2568,28:02800:0:Z4115876586;28:02800:0:Z4591351141;28:02800:1:Z1766307268;
Cc1ccncc1,14157,28:02800:0:Z4328504623;28:02800:0:Z4316985878;28:02800:0:Z1129284170;
CC1(C)CCNCCS1(=O)=O,242,28:02800:0:Z2862139843;28:02800:5:Z4060132635;28:02801:0:Z4265300017;
CC1CCNC1,25447,28:02800:0:Z1725718782;28:02800:0:Z1966461938;28:02800:0:Z4000933502;
C1=CCCCC1,557,28:02800:0:Z4294698979;28:02800:0:Z4286062270;28:02800:0:Z4294747598;
OC1CCC2CNCC2C1,575,28:02800:0:Z4643225614;28:02800:0:Z4064771227;28:02800:1:Z4064769583;
Cc1nnc[nH]1,4020,28:02800:0:Z2067850957;28:02800:0:Z3860366957;28:02800:0:Z2018443293;
Cc1ncsc1C,3852,28:02800:0:Z3059490129;28:02800:0:Z238046256;28:02800:0:Z1883803603;
c1ccc2c(c1)CCCN2,4196,28:02800:0:Z2312573282;28:02800:0:Z2280040664;28:02800:0:Z1887604123;
OC1CCNC1,28270,28:02800:0:Z3317885168;28:02800:0:Z2278664662;28:02800:0:Z3794277446;
c1cnc2nccn2c1,2234,28:02800:0:Z3317885168;28:02800:1:Z4064987193;28:02800:2:Z3082078299;
Fc1ccc(Cl)cc1,4176,28:02800:0:Z3867267825;28:02800:0:Z1018881252;28:02800:0:Z3607547610;
Cc1cc[nH]n1,21518,28:02800:0:Z3842479413;28:02800:0:Z3772761983;28:02800:0:Z1569143139;
CC(C)=CF,1249,28:02800:0:Z4401341504;28:02800:1:Z4384399761;28:02800:3:Z4246448310;
CC1(C)CCOC1,5557,28:02800:0:Z3879762235;28:02800:0:Z3517880823;28:02800:0:Z3469860606;
Clc1cccs1,15600,28:02800:0:Z3378471604;28:02800:0:Z3520908388;28:02800:0:Z344411872;
OC1CNCC2(CCCC2)C1,216,28:02800:0:Z4285438257;28:02800:1:Z4269683680;28:02801:3:Z3439459553;
C1CC2(CCN1)CCOC2,1045,28:02800:0:Z3408924669;28:02800:1:Z3365308374;28:02800:2:Z4059678531;
Oc1c(F)cccc1F,522,28:02800:0:Z3553564048;28:02800:0:Z4483386300;28:02800:0:Z3673183072;
Cn1ncc2c1CCCC2,1364,28:02800:0:Z4614469154;28:02800:0:Z4613722502;28:02800:0:Z4232448358;
Oc1cccnc1,4082,28:02800:0:Z1951051157;28:02800:0:Z3899397608;28:02800:0:Z4147762139;
Clc1ncc[nH]1,409,28:02800:0:Z3528319672;28:02800:0:Z4045433282;28:02800:0:Z3582021208;
c1ccc2n[nH]cc2c1,663,28:02800:0:Z2296952441;28:02800:1:Z3139868892;28:02800:2:Z2783684935;
O=C1CCOC1,1080,28:02800:0:Z3546963412;28:02800:0:Z3578398705;28:02800:1:Z3552333373;
c1ccc2c(c1)OCO2,5454,28:02800:0:Z2750147912;28:02800:0:Z3371977699;28:02800:0:Z338016484;
CN1CCCC2(CCNC2)C1=O,132,28:02800:0:Z1862654026;28:02800:6:Z2162998786;28:02801:3:Z3876879342;
