fragment_smiles,occurences,example_ligands
C1=NOCC1,8264,56:05600:0:Z3368469338;56:05600:0:Z4110195121;56:05600:0:Z3527801825;
C1CCSCC1,10919,56:05600:0:Z4515925319;56:05600:0:Z1193035426;56:05600:0:Z4319741440;
Clc1cc(Cl)c2nccn2c1,600,56:05600:0:Z1997296057;56:05600:5:Z1367608470;56:05600:7:Z1325940691;
C1NC2CC1C2,4297,56:05600:0:Z2859679056;56:05600:0:Z4292949692;56:05600:0:Z4576330304;
O=c1[nH]nc2n1CCCC2,910,56:05600:0:Z3532235274;56:05600:0:Z3624796017;56:05600:0:Z3624815065;
c1ccn2ccnc2c1,8842,56:05600:0:Z2493818663;56:05600:0:Z5057688771;56:05600:0:Z5057688841;
Cc1cc(C)on1,9882,56:05600:0:Z2709795386;56:05600:0:Z3616888714;56:05600:0:Z1348797807;
Cn1nccn1,2404,56:05600:0:Z3661409501;56:05600:0:Z2305306673;56:05600:0:Z4472159998;
Cn1ccc2ccccc21,5403,56:05600:0:Z3173157079;56:05600:0:Z1427802955;56:05600:0:Z3593542748;
CN1CCc2[nH]ncc2C1,266,56:05600:0:Z4488960277;56:05600:0:Z4487416536;56:05602:0:Z4490385386;
c1ccc2c(c1)CCCCN2,1058,56:05600:0:Z4045431057;56:05600:1:Z4112302967;56:05600:1:Z1575814155;
Cc1cccc(C)c1,24601,56:05600:0:Z3800308995;56:05600:0:Z3313370719;56:05600:0:Z3346390355;
O=S1(=O)CC2(CCC2)CN1,100,56:05600:0:Z3800308995;56:05602:1:Z3796836364;56:05602:6:Z3796889661;
Fc1cccn2ccnc12,989,56:05600:0:Z4276319362;56:05600:0:Z3498826109;56:05600:0:Z3777171894;
Nc1ccn2nccc2c1,175,56:05600:0:Z3520429544;56:05600:4:Z3137913957;56:05601:1:Z3522855625;
c1csnn1,4471,56:05600:0:Z4099804168;56:05600:0:Z4880280182;56:05600:0:Z4101128568;
O=c1ccc2c([nH]1)CCC2,630,56:05600:0:Z3101422706;56:05600:1:Z1225156462;56:05600:2:Z2614012991;
c1cc2c(s1)CNCC2,1147,56:05600:0:Z3101422706;56:05600:0:Z2496872454;56:05600:0:Z4622301254;
c1ccc2sccc2c1,8178,56:05600:0:Z3626465968;56:05600:0:Z4643430002;56:05600:0:Z3297283090;
OC1CNC2(CCOCC2)C1,236,56:05600:0:Z3626465968;56:05600:3:Z3626465793;56:05600:7:Z4305095959;
CN1CCCC1,10400,56:05600:0:Z1440260253;56:05600:0:Z3297227016;56:05600:0:Z2591131614;
OC1CCCC1,13482,56:05600:0:Z4099929799;56:05600:0:Z4099926975;56:05600:0:Z1916076799;
Fc1ccc(F)c2c1CCCO2,479,56:05600:0:Z4099929799;56:05600:0:Z4099926975;56:05600:4:Z4454752751;
CN1CCC2(CC1)CNCCO2,302,56:05600:0:Z3357530915;56:05600:2:Z2439091735;56:05600:6:Z2458136112;
FC1(F)CCC1,13926,56:05600:0:Z3638669189;56:05600:0:Z3573425278;56:05600:0:Z2271154160;
C1CCN2CCSCC2C1,358,56:05600:0:Z3997108422;56:05600:2:Z2931706552;56:05600:2:Z3997108408;
C1CC2(CC2)CN1,5126,56:05600:0:Z4055430657;56:05600:0:Z5058205172;56:05600:0:Z4278599032;
Oc1ccc2ccccc2c1,741,56:05600:0:Z4055430657;56:05600:1:Z4421718602;56:05600:2:Z4150870074;
