fragment_smiles,occurences,example_ligands
Cc1cocc1C,2952,69:06900:0:PV-003158271237;69:06900:0:PV-004486614129;69:06900:0:PV-004486614130;
Cc1ccccn1,26099,69:06900:0:PV-002753056370;69:06900:0:PV-002753056420;69:06900:0:PV-004486510189;
CC1(C)CC1,35542,69:06900:0:PV-003158271262;69:06900:0:PV-004486465044;69:06900:0:PV-004486465045;
Clc1cnoc1,3934,69:06900:0:PV-003158271264;69:06900:0:PV-004486461703;69:06900:0:PV-004486614197;
Clc1cccnc1,21963,69:06900:0:PV-003158271265;69:06900:0:PV-004486483561;69:06900:0:PV-004486526662;
Clc1nccs1,14797,69:06900:0:PV-002753056385;69:06900:0:PV-004486484700;69:06900:0:PV-004486529679;
Cc1nc2c(F)cccc2cc1O,43,69:06900:0:PV-002753056391;69:06900:0:PV-002753056392;69:06901:9:PV-003158946763;
C1CNC2CC2C1,2128,69:06900:0:PV-003158271299;69:06900:0:PV-004486597195;69:06900:0:PV-004486605173;
C1NC2CNC1C2,12700,69:06900:0:PV-000502830653;69:06900:0:PV-004486487310;69:06900:0:PV-004486608087;
OC1COC1,7118,69:06900:0:PV-003158271341;69:06900:0:PV-004486512538;69:06900:0:PV-004486512539;
Cc1ccccc1O,4378,69:06900:0:PV-003158271359;69:06900:0:PV-002753066356;69:06900:1:PV-003158305371;
c1cn[nH]n1,8881,69:06900:0:PV-003158271363;69:06900:0:PV-004486530406;69:06900:0:PV-004486542427;
c1cnccn1,20994,69:06900:0:PV-003158271400;69:06900:0:PV-004486472378;69:06900:0:PV-004486480473;
Oc1cc(Cl)ccc1Cl,289,69:06900:0:PV-003939795935;69:06900:0:PV-004486505769;69:06900:1:PV-004486680528;
Cc1cncs1,10084,69:06900:0:PV-002753056438;69:06900:0:PV-004486532933;69:06900:0:PV-004486532934;
C1NC2CC3CC1C2C3,446,69:06900:0:PV-003158271409;69:06900:0:PV-003158290736;69:06900:4:PV-003158410404;
C1CC2NCC2CN1,6014,69:06900:0:PV-003158271429;69:06900:0:PV-004486466661;69:06900:0:PV-004486534145;
Cc1nccs1,21228,69:06900:0:PV-003158271441;69:06900:0:PV-004486503556;69:06900:0:PV-004486503557;
C1CC2CNCC1N2,12531,69:06900:0:PV-003158271468;69:06900:0:PV-004486467389;69:06900:0:PV-004486570326;
C1CC2(CC2)CO1,3233,69:06900:0:PV-002753056480;69:06900:0:PV-003158280591;69:06900:0:PV-002753065859;
O=C1NCCCN1,874,69:06900:0:PV-003158271526;69:06900:0:PV-004486496517;69:06900:6:PV-004487238711;
Fc1cccc2[nH]ccc12,621,69:06900:0:PV-003158271530;69:06900:9:PV-002753177161;69:06900:9:PV-002753182761;
CC1(C)CNCCO1,4275,69:06900:0:PV-003158271540;69:06900:0:PV-003158271541;69:06900:0:PV-002753056504;
c1ccnnc1,23098,69:06900:0:PV-003158271540;69:06900:0:PV-003158271541;69:06900:0:PV-002753056504;
CC1(C)CCC(F)(F)CC1,163,69:06900:0:PV-002753056536;69:06900:0:PV-004486580969;69:06900:0:PV-004486580970;
C1CCC2(CC1)OCCO2,518,69:06900:0:PV-003158271664;69:06900:0:PV-004486542060;69:06900:0:PV-004486615393;
c1nc2c([nH]1)CCOC2,59,69:06900:0:PV-002753056548;69:06904:3:PV-004490953499;69:06904:7:PV-002247102529;
CC1(C)CCOC1,4556,69:06900:0:PV-004486459652;69:06900:0:PV-004486459653;69:06900:0:PV-004486477484;
c1ccc2[nH]ccc2c1,10423,69:06900:0:PV-004486459792;69:06900:0:PV-003158290494;69:06900:1:PV-002143509884;
C1=CSCS1,7497,69:06900:0:PV-004486459812;69:06900:0:PV-004486503461;69:06900:0:PV-003158289340;
Clc1ccsc1,24613,69:06900:0:PV-004486460145;69:06900:0:PV-004486460146;69:06900:0:PV-004486460147;
Fc1cccc2c1CNC2,177,69:06900:0:PV-004486460200;69:06900:5:PV-002753123198;69:06901:6:PV-002753269633;
c1nn[nH]n1,15876,69:06900:0:PV-004486460211;69:06900:0:PV-004486498991;69:06900:0:PV-004486516201;
FC1CNC1,21215,69:06900:0:PV-004486461229;69:06900:0:PV-004486537152;69:06900:0:PV-004486544214;
CN1C(=O)CCNc2ccccc21,22,69:06900:0:PV-004486461240;69:06903:4:PV-002247076609;69:06903:7:PV-003940139535;
