fragment_smiles,occurences,example_ligands
O=S1C=CCCC1,236,55:05500:0:Z3298912229;55:05500:0:Z3358006497;55:05500:1:Z3294526356;
Cc1ccccn1,29368,55:05500:0:Z3634175904;55:05500:0:Z2701509157;55:05500:0:Z4244121513;
C1CNC2(C1)CCOCC2,2156,55:05500:0:Z3634175904;55:05500:0:Z4062899829;55:05500:1:Z3913534658;
CC1(C)CC1,6198,55:05500:0:Z4020319458;55:05500:0:Z3837356645;55:05500:0:Z3654002826;
CC1(C)NCCC1N,162,55:05500:0:Z5005134001;55:05500:4:Z4996534663;55:05500:7:Z5005121299;
Clc1cccs1,10842,55:05500:0:Z452557694;55:05500:0:Z2618508966;55:05500:0:Z3866672706;
C1CC2(CCN1)CCOCC2,856,55:05500:0:Z2905560612;55:05500:0:Z3815828281;55:05500:1:Z3501707064;
O=S1(=O)CCNCC1,4845,55:05500:0:Z3299947936;55:05500:0:Z2836226206;55:05500:0:Z3102364455;
c1cnc2c(c1)CCC2,3479,55:05500:0:Z3299947936;55:05500:0:Z2691654624;55:05500:0:Z4363974462;
CC1(C)CCC1,10227,55:05500:0:Z4391222803;55:05500:0:Z2209564570;55:05500:0:Z3504992785;
C1CC2(CCO1)CCO2,729,55:05500:0:Z4391222803;55:05500:0:Z4396163862;55:05500:1:Z4611138592;
Cc1cc(C)on1,9502,55:05500:0:Z1522922599;55:05500:0:Z982944382;55:05500:0:Z3874707964;
c1ccc2c(c1)CCCCC2,2060,55:05500:0:Z3506000392;55:05500:0:Z2298052113;55:05500:1:Z4292041738;
C1COCCO1,8266,55:05500:0:Z3506000392;55:05500:0:Z4387496155;55:05500:0:Z3587840905;
Oc1ccc2c(c1)CCNCC2,273,55:05500:0:Z3551488067;55:05500:6:Z2268468137;55:05500:7:Z2972463934;
FC1(F)CCCCC1,10221,55:05500:0:Z1452902275;55:05500:0:Z2177021077;55:05500:0:Z4003662106;
O=C1CNCCN1,14461,55:05500:0:Z3381398061;55:05500:0:Z4033040457;55:05500:0:Z2843717950;
Cn1cncn1,13406,55:05500:0:Z4147823142;55:05500:0:Z2826774074;55:05500:0:Z2919466560;
C1CC2(C1)CNCCO2,2422,55:05500:0:Z4147823142;55:05500:0:Z4446361576;55:05500:0:Z4449743830;
C1COC2(CCNC2)CN1,427,55:05500:0:Z2952584892;55:05500:5:Z3698342060;55:05500:5:Z3891219976;
Clc1cccc2c1OCCCO2,819,55:05500:0:Z3855987429;55:05500:1:Z1364471806;55:05500:1:Z2837147093;
CC1(C)OCCC1O,222,55:05500:0:Z4880323522;55:05500:3:Z4883669197;55:05501:2:Z4883663269;
Cc1cc[nH]n1,28580,55:05500:0:Z2921500711;55:05500:0:Z3503956449;55:05500:0:Z3866583737;
Cn1cnc2ccccc21,5003,55:05500:0:Z2921500711;55:05500:0:Z4307648645;55:05500:0:Z3532035852;
C1CC2CNCCN2C1,886,55:05500:0:Z1180320209;55:05500:1:Z4311896424;55:05500:2:Z1682219268;
c1ccc2c(c1)CCCCN2,1095,55:05500:0:Z4303748757;55:05500:0:Z4129172839;55:05500:7:Z4218140645;
C1COC2CC2N1,864,55:05500:0:Z3908549381;55:05500:0:Z4307648645;55:05500:0:Z4403833229;
C1CNCC2(C1)CCC2,1666,55:05500:0:Z3700332914;55:05500:0:Z4557356000;55:05500:0:Z3827850851;
O=S1(=O)CCC2(CCCN2)C1,242,55:05500:0:Z3700332914;55:05500:7:Z3652861210;55:05501:5:Z4345464131;
FC1(F)CC1,14299,55:05500:0:Z3623395675;55:05500:0:Z2371359705;55:05500:0:Z3144138119;
Fc1ccc(F)cc1,10349,55:05500:0:Z3806542400;55:05500:0:Z4429663688;55:05500:0:Z2179321584;
Cc1ncnc2c1CCCC2,377,55:05500:0:Z3469324848;55:05500:0:Z3475336779;55:05500:1:Z3554600733;
CC1(C)COC1,697,55:05500:0:Z3711731564;55:05500:0:Z4281899802;55:05500:8:Z3873954351;
Cc1nc2ccccc2s1,1751,55:05500:0:Z3048203605;55:05500:0:Z4023257294;55:05500:0:Z1994308843;
Cc1ncn[nH]1,4646,55:05500:0:Z3046223944;55:05500:0:Z4200686636;55:05500:0:Z2874360865;
