fragment_smiles,occurences,example_ligands
FC1(F)CCNCC1,3341,94:09400:0:Z5048280517;94:09400:0:Z3893241782;94:09400:0:Z2622648193;
CC1CCOCC1,2135,94:09400:0:Z2999129382;94:09400:0:Z1373900373;94:09400:0:Z1029758670;
c1nn[nH]n1,34265,94:09400:0:Z2645314425;94:09400:0:Z4390378850;94:09400:0:Z4380612700;
CC1CCNCC1,19798,94:09400:0:Z1746228868;94:09400:0:Z1942508853;94:09400:0:Z1747863254;
Cc1c[nH]cn1,3122,94:09400:0:Z2883785118;94:09400:0:Z2859896572;94:09400:1:Z4068441814;
c1cnc2nccnc2c1,775,94:09400:0:Z1168165399;94:09400:2:Z2718259519;94:09400:2:Z3657367571;
CC1(C)CNCc2cccc(F)c21,119,94:09400:0:Z4314939738;94:09400:5:Z4317583505;94:09400:6:Z4329430186;
CC1CCN(C)CC1,584,94:09400:0:Z4390378850;94:09400:5:Z3353677890;94:09400:5:Z3709505888;
Clc1cncnc1,3231,94:09400:0:Z4240448593;94:09400:0:Z2485440441;94:09400:0:Z3204680639;
c1ccnnc1,19931,94:09400:0:Z4240448593;94:09400:0:Z2347173563;94:09400:0:Z3175834597;
c1ncc2c(n1)CCNC2,3287,94:09400:0:Z2852744954;94:09400:1:Z2837413676;94:09400:1:Z3086457632;
CC1(C)CNCc2ccccc21,301,94:09400:0:Z3606070198;94:09400:8:Z4415276552;94:09401:1:Z4422636078;
c1ccc2occc2c1,13985,94:09400:0:Z4267971289;94:09400:0:Z4266815086;94:09400:0:Z2297995293;
C1COC2(C1)CNC2,1575,94:09400:0:Z3593378622;94:09400:0:Z4054587329;94:09400:0:Z3569556726;
O=C1CC2(CCC2)CCN1,737,94:09400:0:Z3593378622;94:09400:1:Z3520493834;94:09400:1:Z3298952372;
C1CC2CCOC2C1,2837,94:09400:0:Z4147741408;94:09400:0:Z2791389310;94:09400:1:Z4264847649;
O=C1NCCC2CCCN12,385,94:09400:0:Z4147741408;94:09400:2:Z4153577385;94:09400:6:Z4156842071;
OC1CCCC1,11849,94:09400:0:Z2960139098;94:09400:0:Z3349622294;94:09400:0:Z4085210350;
O=S1(=O)CCCCC1,9015,94:09400:0:Z5045502151;94:09400:0:Z4959656744;94:09400:0:Z3587543565;
Cc1ccc(F)cc1C,231,94:09400:0:Z5045502151;94:09400:0:Z5045136316;94:09401:3:Z5044098776;
NC1CC2CNCC1C2,96,94:09400:0:Z5038136304;94:09402:4:Z5043317257;94:09405:3:Z5038137328;
Cc1cccc(Cl)c1,5638,94:09400:0:Z2892528032;94:09400:0:Z2840060340;94:09400:0:Z1426557646;
Cc1nccn1C,2091,94:09400:0:Z2892528032;94:09400:0:Z4562051721;94:09400:0:Z1892922971;
c1ccc2c(c1)CCO2,13445,94:09400:0:Z1389588890;94:09400:0:Z3294674873;94:09400:0:Z2634424286;
OC1CCNC1,23423,94:09400:0:Z4214337055;94:09400:0:Z4214337051;94:09400:0:Z2707571268;
OC1CCC1,14599,94:09400:0:Z4244246872;94:09400:0:Z1677399046;94:09400:0:Z2093526757;
c1nnc2n1CCNC2,5555,94:09400:0:Z4244246872;94:09400:0:Z2702632868;94:09400:0:Z4422224274;
c1ccc2ncccc2c1,23441,94:09400:0:Z453276386;94:09400:0:Z4649243029;94:09400:0:Z1942508853;
Cc1cnc2ccccc2c1,984,94:09400:0:Z3867185756;94:09400:2:Z4828122539;94:09400:2:Z4828232499;
CC1(C)CC2(CCNC2)CO1,325,94:09400:0:Z3867185756;94:09400:4:Z3867187712;94:09400:4:Z3867191742;
CN1CCC(F)(F)CC1,459,94:09400:0:Z2482566166;94:09400:5:Z2482565847;94:09400:6:Z3132031363;
CC1CCCCC1,15827,94:09400:0:Z2780256911;94:09400:0:Z4089151270;94:09400:0:Z4380612700;
c1ccc2nnccc2c1,466,94:09400:0:Z2780256911;94:09400:1:Z3842212694;94:09400:1:Z4573448515;
CN1CCC1,1161,94:09400:0:Z2767809147;94:09400:0:Z4076843231;94:09400:0:Z2926552194;
CC1CCCN1,18661,94:09400:0:Z2347173563;94:09400:0:Z2183967758;94:09400:0:Z1716769827;
FC1(F)CC12CCCNC2,355,94:09400:0:Z2485440441;94:09400:3:Z2956443521;94:09400:3:Z2476776595;
C1CNC2CCOCC2C1,588,94:09400:0:Z4113959265;94:09400:1:Z4114493600;94:09400:2:Z4063341104;
CC1(C)C2CCCC21,494,94:09400:0:Z4113959265;94:09400:6:Z3080401428;94:09400:7:Z3586168328;
C1CCC2(CC1)CC2,3146,94:09400:0:Z4875986633;94:09400:0:Z3577345346;94:09400:0:Z4876197937;
c1n[nH]c2c1CCC2,2585,94:09400:0:Z2504894237;94:09400:0:Z2932210866;94:09400:1:Z3044212894;
c1ncc2scnc2n1,403,94:09400:0:Z3829041042;94:09400:2:Z3829223323;94:09400:8:Z3829393133;
c1ccc2[nH]cnc2c1,19106,94:09400:0:Z327633774;94:09400:0:Z905719322;94:09400:0:Z3296211138;
