fragment_smiles,occurences,example_ligands
O=C1NC2CCNC1C2,367,53:05300:0:Z3651387219;53:05300:9:Z3612649505;53:05301:0:Z3612644610;
O=C1NCCNCC1(F)F,376,53:05300:0:Z4974480161;53:05300:0:Z3059556849;53:05300:1:Z3059531140;
C1CC2(C1)CCNC2,5947,53:05300:0:Z2453907481;53:05300:0:Z3547033593;53:05300:0:Z3620491262;
Clc1cnc2ccsc2c1,145,53:05300:0:Z2453907481;53:05300:4:Z4576293074;53:05300:7:Z4576092849;
FC12CNCCC1CNC2,69,53:05300:0:Z4029847452;53:05300:0:Z4029836863;53:05302:8:Z4205623306;
CC1CNCCO1,15721,53:05300:0:Z4029847452;53:05300:0:Z4029836863;53:05300:0:Z1765934029;
O=C1CCC2(CCC2)C1,408,53:05300:0:Z3532745622;53:05300:1:Z4670141415;53:05300:3:Z3540254734;
C1CC12CNC2,751,53:05300:0:Z3819110599;53:05300:3:Z2282750832;53:05300:3:Z3818883643;
c1nnn[nH]1,24115,53:05300:0:Z3819110599;53:05300:0:Z1716824725;53:05300:0:Z3048876802;
FC1(F)C2(CCNCC2)C12CC2,210,53:05300:0:Z3102966065;53:05300:4:Z3209732291;53:05300:7:Z4022876088;
Clc1ccco1,1603,53:05300:0:Z3776269093;53:05300:0:Z1550798397;53:05300:1:Z1022881868;
FC1(F)CCC2(CC1)CC2,960,53:05300:0:Z3776269093;53:05300:0:Z3778238037;53:05300:1:Z3581031457;
FC1COCCOC1,695,53:05300:0:Z4199474995;53:05300:3:Z4197145807;53:05300:6:Z4199476757;
O=C1CSc2ccccc2N1,1751,53:05300:0:Z1286752325;53:05300:0:Z2172189968;53:05300:0:Z3010627969;
CC1(C)CNCCN1,3646,53:05300:0:Z1557238275;53:05300:0:Z1616165292;53:05300:0:Z2433779953;
Cc1cc(=O)n2ncsc2n1,383,53:05300:0:Z1557238275;53:05300:0:Z3320954657;53:05300:0:Z4343624120;
