fragment_smiles,occurences,example_ligands
CC1Cc2cn[nH]c2C(C)O1,122,3:00300:0:Z3576190407;3:00300:6:Z3537788710;3:00301:3:Z3579902632;
Cc1ccc2ccccc2c1,139,3:00300:0:Z4476805854;3:00300:0:Z2898315433;3:00302:0:Z3622026047;
FC1(F)CC1,15953,3:00300:0:Z4446139378;3:00300:0:Z3595705473;3:00300:0:Z3595708219;
CC1(C)CCC1,13211,3:00300:0:Z3608926340;3:00300:0:Z3612351658;3:00300:0:Z4353371011;
c1nnco1,23724,3:00300:0:Z2272243641;3:00300:0:Z1276442170;3:00300:0:Z3495987750;
C1CCCOCC1,2796,3:00300:0:Z2272243641;3:00300:0:Z1609103124;3:00300:0:Z2921858672;
Cc1ccsc1,13635,3:00300:0:Z3179862704;3:00300:0:Z3533224238;3:00300:0:Z1524085422;
c1cc2sccc2o1,619,3:00300:0:Z1834960741;3:00300:2:Z1247023684;3:00300:2:Z4227039562;
CC1=NC(C)CS1,482,3:00300:0:Z4271780276;3:00300:2:Z4236467261;3:00300:6:Z4278508333;
FC1(F)CCCC1,8354,3:00300:0:Z4271780276;3:00300:0:Z3633021226;3:00300:0:Z4193208451;
C1COCCO1,9971,3:00300:0:Z3589362692;3:00300:0:Z3590905719;3:00300:0:Z2170859625;
c1nnc[nH]1,27305,3:00300:0:Z2918236211;3:00300:0:Z1554685438;3:00300:0:Z3466777902;
Cc1cncs1,12818,3:00300:0:Z3395840268;3:00300:0:Z4076545228;3:00300:0:Z1356928427;
CC1(C)CCNCC2CCOC21,140,3:00300:0:Z3395840268;3:00300:3:Z3394827911;3:00300:6:Z3611164656;
c1nc2c(s1)COCC2,1642,3:00300:0:Z4070081338;3:00300:3:Z3340925513;3:00300:3:Z4175112413;
CN1CCCC1(C)C,893,3:00300:0:Z4253876459;3:00300:0:Z4098016090;3:00300:1:Z4253856393;
Clc1ccncc1,4214,3:00300:0:Z4232412951;3:00300:0:Z3389243277;3:00300:0:Z3863569934;
C1CC2CNCC2CCN1,304,3:00300:0:Z2360470886;3:00300:2:Z2606751918;3:00300:3:Z2825969466;
C1COC2(C1)CC2,1007,3:00300:0:Z3656816060;3:00300:1:Z3656787879;3:00300:1:Z3656808208;
Cn1ccncc1=O,1077,3:00300:0:Z2654909759;3:00300:2:Z1778912078;3:00300:2:Z2870480682;
CC1(C)CNC1,4962,3:00300:0:Z2654909759;3:00300:0:Z3784886323;3:00300:0:Z4024138035;
Fc1cncc(Cl)c1,724,3:00300:0:Z4104971087;3:00300:0:Z4106430011;3:00300:1:Z3392594415;
CC1CCCO1,21640,3:00300:0:Z1796743970;3:00300:0:Z1396126480;3:00300:0:Z3187728073;
Cc1nc[nH]n1,3473,3:00300:0:Z4149426976;3:00300:0:Z3656892582;3:00300:1:Z4291201793;
CC12CC(C1)C(C)(C)O2,386,3:00300:0:Z3621749876;3:00300:4:Z3573739137;3:00300:4:Z3362908124;
c1ccc2c(c1)CCNC2,6834,3:00300:0:Z4053904439;3:00300:0:Z4266498269;3:00300:0:Z1723928324;
CC1CCNCC1,15470,3:00300:0:Z2596014731;3:00300:0:Z2146137774;3:00300:0:Z4269015841;
Cc1cc2c(c(=O)[nH]1)CCCN2,83,3:00300:0:Z4238825268;3:00300:0:Z4238853118;3:00300:4:Z4238858748;
Cc1cc2cnccn2n1,382,3:00300:0:Z1725376952;3:00300:0:Z4198670806;3:00300:3:Z3810915399;
Fc1cccnc1,26169,3:00300:0:Z4058004743;3:00300:0:Z1255788292;3:00300:0:Z3613208229;
CC1CCCC(=O)N1,2460,3:00300:0:Z4157197550;3:00300:0:Z4704753591;3:00300:0:Z2413913919;
Cn1cnc2ccc(Cl)cc21,238,3:00300:0:Z4157197550;3:00300:0:Z4156882475;3:00301:5:Z3797697771;
CC1CNC1C,799,3:00300:0:Z2278041033;3:00300:1:Z3558705328;3:00300:2:Z2219518574;
O=c1[nH]cn[nH]1,2141,3:00300:0:Z2094761305;3:00300:0:Z1766777689;3:00300:0:Z2843570725;
Clc1cccc(Cl)c1,12091,3:00300:0:Z512695878;3:00300:0:Z2839229053;3:00300:0:Z1082635684;
