fragment_smiles,occurences,example_ligands
Fc1cncnc1,2048,92:09200:0:Z4331452128;92:09200:0:Z4339434834;92:09200:1:Z3299939493;
C1=CCCCC1,781,92:09200:0:Z4236610900;92:09200:0:Z4291007792;92:09200:2:Z4402066825;
CC1(C)CC(C)(C)C1,119,92:09200:0:Z4089784148;92:09200:0:Z3841224762;92:09200:6:Z4251356451;
Cc1ncc2c(n1)CCCC2,1446,92:09200:0:Z4089784148;92:09200:1:Z4137520584;92:09200:1:Z1642105682;
Cc1cscn1,38153,92:09200:0:Z2465485411;92:09200:0:Z1234054873;92:09200:0:Z1091807896;
Fc1cc2c(s1)CCOC2,348,92:09200:0:Z3641936071;92:09200:5:Z2201355734;92:09200:8:Z4140293326;
Clc1ccccc1Cl,12623,92:09200:0:Z2180207046;92:09200:0:Z3056073805;92:09200:0:Z3043523722;
C1CC2CCC1C2,11952,92:09200:0:Z3671340438;92:09200:0:Z2605452473;92:09200:0:Z3559390077;
CC1CCNCC1,19848,92:09200:0:Z1607787350;92:09200:0:Z5018301228;92:09200:0:Z1747789510;
NC1CCC2CC12,234,92:09200:0:Z3791868154;92:09200:7:Z3143551606;92:09200:9:Z3100608496;
c1ccc2ncncc2c1,3420,92:09200:0:Z3076544463;92:09200:0:Z3632639228;92:09200:0:Z4458599412;
CC1CNc2ncccc2C1,184,92:09200:0:Z4370958096;92:09200:0:Z4370960420;92:09200:4:Z4370962396;
CN1CCCc2ccccc21,1903,92:09200:0:Z4370958096;92:09200:0:Z4050509365;92:09200:0:Z3623176083;
O=C1CCc2cccnc2N1,524,92:09200:0:Z4339068027;92:09200:0:Z3382133424;92:09200:2:Z3204210092;
Cc1cncs1,10310,92:09200:0:Z3134235498;92:09200:0:Z3132902005;92:09200:0:Z1698769445;
C1CNCCSC1,1636,92:09200:0:Z3134235498;92:09200:3:Z1119081098;92:09200:3:Z2335548953;
Oc1ccc2c(c1)CCCCN2,65,92:09200:0:Z4325274791;92:09200:0:Z4959818563;92:09200:6:Z3055530131;
Cc1ccncn1,17390,92:09200:0:Z2801685831;92:09200:0:Z1522512760;92:09200:0:Z3209222053;
CC1CCCCS1(=O)=O,1639,92:09200:0:Z3638480870;92:09200:0:Z3638455921;92:09200:1:Z2621950240;
Nc1ccn[nH]1,2803,92:09200:0:Z3644469979;92:09200:0:Z4056146882;92:09200:1:Z4049384733;
c1ccc2c(c1)CCNC2,25190,92:09200:0:Z4018774603;92:09200:0:Z3208791920;92:09200:0:Z4076881543;
FC1(F)CC2CCC1C2,897,92:09200:0:Z4018774603;92:09200:0:Z3833953585;92:09200:0:Z4232919023;
CC1CCc2ccccc2C1,889,92:09200:0:Z1603532434;92:09200:0:Z3194229394;92:09200:1:Z1273287811;
Cn1ncc2c1CCCC2,2485,92:09200:0:Z3706996209;92:09200:0:Z3092064193;92:09200:1:Z2870649923;
C1CC2COCC2O1,1592,92:09200:0:Z5018772565;92:09200:1:Z3010329290;92:09200:1:Z3564967749;
O=c1[nH]c2ccccc2[nH]1,4635,92:09200:0:Z3590093966;92:09200:0:Z2877211158;92:09200:0:Z2618012288;
C1COCCO1,7532,92:09200:0:Z3056073805;92:09200:0:Z4076909439;92:09200:0:Z3599942820;
Cc1cc(C)on1,9639,92:09200:0:Z3179916859;92:09200:0:Z2333891048;92:09200:0:Z1562819791;
Cn1ccc2cc(Cl)ccc21,248,92:09200:0:Z4023235235;92:09200:3:Z3697864735;92:09200:9:Z4129871675;
c1noc2c1CNCC2,823,92:09200:0:Z4023235235;92:09200:0:Z3441673367;92:09200:1:Z4308605352;
O=c1cc[nH][nH]1,1569,92:09200:0:Z4150479486;92:09200:0:Z3906878870;92:09200:0:Z4272539303;
O=C1CCc2ccccc21,3022,92:09200:0:Z5001357255;92:09200:0:Z3843987960;92:09200:0:Z3862940600;
Cn1nc(Cl)cc1Cl,229,92:09200:0:Z4329892812;92:09201:2:Z2706942990;92:09202:0:Z2708315971;
Cc1cnccn1,5732,92:09200:0:Z2711608856;92:09200:0:Z2646478382;92:09200:0:Z4918749568;
c1cc2scnc2cn1,233,92:09200:0:Z4079730538;92:09200:1:Z2634363212;92:09200:7:Z2625194310;
CC1NCCNC1=O,1010,92:09200:0:Z1779881756;92:09200:0:Z4769676180;92:09200:0:Z1742893751;
c1ccn2cnnc2c1,6480,92:09200:0:Z2969969794;92:09200:0:Z2171246489;92:09200:0:Z1622386749;
C1CCSC1,7420,92:09200:0:Z2384243417;92:09200:0:Z3589057160;92:09200:0:Z3799541042;
Cc1ncon1,12463,92:09200:0:Z1225675014;92:09200:0:Z4137883505;92:09200:0:Z1595668462;
Clc1ccc2c(c1)OCCCO2,443,92:09200:0:Z1225675014;92:09200:1:Z2792517488;92:09200:2:Z4171953181;
c1[nH]nc2c1CCCC2,2754,92:09200:0:Z4962593776;92:09200:1:Z3668804651;92:09200:1:Z1445064648;
Fc1cc(F)c2c(c1)NCC2,231,92:09200:0:Z1361449496;92:09200:8:Z738181336;92:09201:0:Z1421054607;
Fc1cccc2cccnc12,1217,92:09200:0:Z3709700981;92:09200:2:Z2409933208;92:09200:2:Z3837800662;
CC1(C)CNCCN1,4047,92:09200:0:Z4081945769;92:09200:0:Z4127729218;92:09200:1:Z4263747418;
c1ncncn1,1314,92:09200:0:Z4081945769;92:09200:0:Z2851746883;92:09200:0:Z4080983887;
Cc1csc2ncccc12,463,92:09200:0:Z4608390476;92:09200:1:Z2713315069;92:09200:4:Z4608396114;
c1cnc2c(c1)CCCC2,5867,92:09200:0:Z2929639076;92:09200:0:Z2929565012;92:09200:0:Z3905829964;
c1ccc2scnc2c1,12935,92:09200:0:Z1499729149;92:09200:0:Z4084247339;92:09200:0:Z2442138743;
Fc1cccnn1,26,92:09200:0:Z2676796302;92:09200:8:Z4666609104;92:09202:6:Z2676795346;
